"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"e:\piano-manage\src\App.vue", "Vue", 0, 58, 0, 4, 62
"e:\piano-manage\src\api\JbAbilityKnowledge.js", "JavaScript", 35, 0, 4, 5, 44
"e:\piano-manage\src\api\Jobmanage.js", "JavaScript", 7, 0, 0, 7, 14
"e:\piano-manage\src\api\ability.js", "JavaScript", 13, 0, 0, 7, 20
"e:\piano-manage\src\api\bulletin.js", "JavaScript", 46, 0, 0, 2, 48
"e:\piano-manage\src\api\commanage.js", "JavaScript", 49, 0, 0, 9, 58
"e:\piano-manage\src\api\dutyPreservation.js", "JavaScript", 134, 0, 0, 4, 138
"e:\piano-manage\src\api\index.js", "JavaScript", 20, 0, 0, 4, 24
"e:\piano-manage\src\api\jobportray.js", "JavaScript", 40, 0, 25, 11, 76
"e:\piano-manage\src\api\login.js", "JavaScript", 32, 0, 0, 4, 36
"e:\piano-manage\src\api\modules\datasourceApi.js", "JavaScript", 53, 0, 28, 2, 83
"e:\piano-manage\src\api\modules\kgBuilderApi.js", "JavaScript", 157, 0, 5, 5, 167
"e:\piano-manage\src\api\order.js", "JavaScript", 19, 0, 0, 2, 21
"e:\piano-manage\src\api\pPreservation.js", "JavaScript", 109, 0, 0, 3, 112
"e:\piano-manage\src\api\radar.js", "JavaScript", 45, 0, 0, 5, 50
"e:\piano-manage\src\api\schmanage.js", "JavaScript", 64, 0, 0, 7, 71
"e:\piano-manage\src\api\search.js", "JavaScript", 11, 0, 0, 2, 13
"e:\piano-manage\src\api\upload.js", "JavaScript", 15, 0, 0, 6, 21
"e:\piano-manage\src\api\usermanage.js", "JavaScript", 61, 0, 0, 9, 70
"e:\piano-manage\src\components\404.vue", "Vue", 0, 47, 0, 2, 49
"e:\piano-manage\src\components\AddPreservationForm.vue", "Vue", 0, 89, 5, 3, 97
"e:\piano-manage\src\components\BulletinForm.vue", "Vue", 0, 76, 0, 4, 80
"e:\piano-manage\src\components\BulletinMarkDown.vue", "Vue", 0, 16, 0, 5, 21
"e:\piano-manage\src\components\Index.vue", "Vue", 0, 667, 15, 23, 705
"e:\piano-manage\src\components\KChart.vue", "Vue", 0, 10, 0, 4, 14
"e:\piano-manage\src\components\KGBuilderMenuBlank.vue", "Vue", 0, 68, 1, 2, 71
"e:\piano-manage\src\components\KGBuilderMenuLink.vue", "Vue", 0, 61, 1, 2, 64
"e:\piano-manage\src\components\KGBuilderTwo.vue", "Vue", 0, 1273, 0, 11, 1284
"e:\piano-manage\src\components\KGBuilder_v1.vue", "Vue", 0, 1273, 0, 11, 1284
"e:\piano-manage\src\components\KGFocus.vue", "Vue", 0, 54, 7, 4, 65
"e:\piano-manage\src\components\KGTable.vue", "Vue", 0, 274, 3, 7, 284
"e:\piano-manage\src\components\KGWanted.vue", "Vue", 0, 78, 0, 3, 81
"e:\piano-manage\src\components\LatestDeal.vue", "Vue", 0, 10, 0, 4, 14
"e:\piano-manage\src\components\Login.vue", "Vue", 0, 178, 2, 20, 200
"e:\piano-manage\src\components\PreservationForm.vue", "Vue", 0, 118, 0, 4, 122
"e:\piano-manage\src\components\PreservationRecord.vue", "Vue", 0, 143, 0, 5, 148
"e:\piano-manage\src\components\RecordDetail.vue", "Vue", 0, 34, 0, 4, 38
"e:\piano-manage\src\main.js", "JavaScript", 29, 0, 1, 6, 36
"e:\piano-manage\src\permission.js", "JavaScript", 38, 0, 5, 3, 46
"e:\piano-manage\src\router\index.js", "JavaScript", 119, 0, 49, 14, 182
"e:\piano-manage\src\store\index.js", "JavaScript", 325, 0, 37, 20, 382
"e:\piano-manage\src\utils\BaseAPI.js", "JavaScript", 21, 0, 0, 4, 25
"e:\piano-manage\src\utils\auth.js", "JavaScript", 11, 0, 0, 5, 16
"e:\piano-manage\src\utils\createRoutes.js", "JavaScript", 26, 0, 2, 6, 34
"e:\piano-manage\src\utils\errorCode.js", "JavaScript", 6, 0, 0, 1, 7
"e:\piano-manage\src\utils\event-bus.js", "JavaScript", 36, 0, 1, 2, 39
"e:\piano-manage\src\utils\index.js", "JavaScript", 12, 0, 2, 3, 17
"e:\piano-manage\src\utils\loading.js", "JavaScript", 15, 0, 0, 4, 19
"e:\piano-manage\src\utils\request.js", "JavaScript", 48, 0, 9, 6, 63
"e:\piano-manage\src\utils\request1.js", "JavaScript", 94, 0, 10, 5, 109
"e:\piano-manage\src\views\BoatUserManage.vue", "Vue", 0, 271, 6, 23, 300
"e:\piano-manage\src\views\CompanyManage.vue", "Vue", 0, 454, 3, 6, 463
"e:\piano-manage\src\views\Home.vue", "Vue", 0, 175, 2, 21, 198
